id,range_from,range_to,amount_tax,tax_table_id:id
tax_table_0_088,793001,793500,1740,os_hr_payroll_reports.tax_table_0
tax_table_0_089,793501,794000,1760,os_hr_payroll_reports.tax_table_0
tax_table_0_090,794001,794500,1780,os_hr_payroll_reports.tax_table_0
tax_table_0_091,794501,795000,1800,os_hr_payroll_reports.tax_table_0
tax_table_0_092,795001,795500,1820,os_hr_payroll_reports.tax_table_0
tax_table_0_093,795501,796000,1840,os_hr_payroll_reports.tax_table_0
tax_table_0_094,796001,796500,1860,os_hr_payroll_reports.tax_table_0
tax_table_0_095,796501,797000,1880,os_hr_payroll_reports.tax_table_0
tax_table_0_096,797001,797500,1900,os_hr_payroll_reports.tax_table_0
tax_table_0_097,797501,798000,1920,os_hr_payroll_reports.tax_table_0
tax_table_0_098,798001,798500,1940,os_hr_payroll_reports.tax_table_0
tax_table_0_099,798501,799000,1960,os_hr_payroll_reports.tax_table_0
tax_table_0_100,799001,799500,1980,os_hr_payroll_reports.tax_table_0
tax_table_0_101,799501,800000,2000,os_hr_payroll_reports.tax_table_0
tax_table_0_102,800001,800500,2020,os_hr_payroll_reports.tax_table_0
tax_table_0_103,800501,801000,2040,os_hr_payroll_reports.tax_table_0
tax_table_0_104,801001,801500,2060,os_hr_payroll_reports.tax_table_0
tax_table_0_105,801501,802000,2080,os_hr_payroll_reports.tax_table_0
tax_table_0_106,802001,802500,2100,os_hr_payroll_reports.tax_table_0
tax_table_0_107,802501,803000,2120,os_hr_payroll_reports.tax_table_0
tax_table_0_108,803001,803500,2140,os_hr_payroll_reports.tax_table_0
tax_table_0_109,803501,804000,2160,os_hr_payroll_reports.tax_table_0
tax_table_0_110,804001,804500,2180,os_hr_payroll_reports.tax_table_0
tax_table_0_111,804501,805000,2200,os_hr_payroll_reports.tax_table_0
tax_table_0_112,805001,805500,2220,os_hr_payroll_reports.tax_table_0
tax_table_0_113,805501,806000,2240,os_hr_payroll_reports.tax_table_0
tax_table_0_114,806001,806500,2260,os_hr_payroll_reports.tax_table_0
tax_table_0_115,806501,807000,2280,os_hr_payroll_reports.tax_table_0
tax_table_0_116,807001,807500,2300,os_hr_payroll_reports.tax_table_0
tax_table_0_117,807501,808000,2320,os_hr_payroll_reports.tax_table_0
tax_table_0_118,808001,808500,2340,os_hr_payroll_reports.tax_table_0
tax_table_0_119,808501,809000,2360,os_hr_payroll_reports.tax_table_0
tax_table_0_120,809001,809500,2380,os_hr_payroll_reports.tax_table_0
tax_table_0_121,809501,810000,2400,os_hr_payroll_reports.tax_table_0
tax_table_0_122,810001,810500,2420,os_hr_payroll_reports.tax_table_0
tax_table_0_123,810501,811000,2440,os_hr_payroll_reports.tax_table_0
tax_table_0_124,811001,811500,2460,os_hr_payroll_reports.tax_table_0
tax_table_0_125,811501,812000,2480,os_hr_payroll_reports.tax_table_0
tax_table_0_126,812001,812500,2500,os_hr_payroll_reports.tax_table_0
tax_table_0_127,812501,813000,2520,os_hr_payroll_reports.tax_table_0
tax_table_0_128,813001,813500,2540,os_hr_payroll_reports.tax_table_0
tax_table_0_129,813501,814000,2560,os_hr_payroll_reports.tax_table_0
tax_table_0_130,814001,814500,2580,os_hr_payroll_reports.tax_table_0
tax_table_0_131,814501,815000,2600,os_hr_payroll_reports.tax_table_0
tax_table_0_132,815001,815500,2620,os_hr_payroll_reports.tax_table_0
tax_table_0_133,815501,816000,2640,os_hr_payroll_reports.tax_table_0
tax_table_0_134,816001,816500,2660,os_hr_payroll_reports.tax_table_0
tax_table_0_135,816501,817000,2680,os_hr_payroll_reports.tax_table_0
tax_table_0_136,817001,817500,2700,os_hr_payroll_reports.tax_table_0
tax_table_0_137,817501,818000,2720,os_hr_payroll_reports.tax_table_0
tax_table_0_138,818001,818500,2740,os_hr_payroll_reports.tax_table_0
tax_table_0_139,818501,819000,2760,os_hr_payroll_reports.tax_table_0
tax_table_0_140,819001,819500,2780,os_hr_payroll_reports.tax_table_0
tax_table_0_141,819501,820000,2800,os_hr_payroll_reports.tax_table_0
tax_table_0_142,820001,820500,2820,os_hr_payroll_reports.tax_table_0
tax_table_0_143,820501,821000,2840,os_hr_payroll_reports.tax_table_0
tax_table_0_144,821001,821500,2860,os_hr_payroll_reports.tax_table_0
tax_table_0_145,821501,822000,2880,os_hr_payroll_reports.tax_table_0
tax_table_0_146,822001,822500,2900,os_hr_payroll_reports.tax_table_0
tax_table_0_147,822501,823000,2920,os_hr_payroll_reports.tax_table_0
tax_table_0_148,823001,823500,2940,os_hr_payroll_reports.tax_table_0
tax_table_0_149,823501,824000,2960,os_hr_payroll_reports.tax_table_0
tax_table_0_150,824001,824500,2980,os_hr_payroll_reports.tax_table_0
tax_table_0_151,824501,825000,3000,os_hr_payroll_reports.tax_table_0
tax_table_0_152,825001,825500,3020,os_hr_payroll_reports.tax_table_0
tax_table_0_153,825501,826000,3040,os_hr_payroll_reports.tax_table_0
tax_table_0_154,826001,826500,3060,os_hr_payroll_reports.tax_table_0
tax_table_0_155,826501,827000,3080,os_hr_payroll_reports.tax_table_0
tax_table_0_156,827001,827500,3100,os_hr_payroll_reports.tax_table_0
tax_table_0_157,827501,828000,3120,os_hr_payroll_reports.tax_table_0
tax_table_0_158,828001,828500,3140,os_hr_payroll_reports.tax_table_0
tax_table_0_159,828501,829000,3160,os_hr_payroll_reports.tax_table_0
tax_table_0_160,829001,829500,3180,os_hr_payroll_reports.tax_table_0
tax_table_0_161,829501,830000,3200,os_hr_payroll_reports.tax_table_0
tax_table_0_162,830001,830500,3220,os_hr_payroll_reports.tax_table_0
tax_table_0_163,830501,831000,3240,os_hr_payroll_reports.tax_table_0
tax_table_0_164,831001,831500,3260,os_hr_payroll_reports.tax_table_0
tax_table_0_165,831501,832000,3280,os_hr_payroll_reports.tax_table_0
tax_table_0_166,832001,832500,3300,os_hr_payroll_reports.tax_table_0
tax_table_0_167,832501,833000,3320,os_hr_payroll_reports.tax_table_0
tax_table_0_168,833001,833500,3340,os_hr_payroll_reports.tax_table_0
tax_table_0_169,833501,834000,3360,os_hr_payroll_reports.tax_table_0
tax_table_0_170,834001,834500,3380,os_hr_payroll_reports.tax_table_0
tax_table_0_171,834501,835000,3400,os_hr_payroll_reports.tax_table_0
tax_table_0_172,835001,835500,3420,os_hr_payroll_reports.tax_table_0
tax_table_0_173,835501,836000,3440,os_hr_payroll_reports.tax_table_0
tax_table_0_174,836001,836500,3460,os_hr_payroll_reports.tax_table_0
tax_table_0_175,836501,837000,3480,os_hr_payroll_reports.tax_table_0
tax_table_0_176,837001,837500,3500,os_hr_payroll_reports.tax_table_0
tax_table_0_177,837501,838000,3520,os_hr_payroll_reports.tax_table_0
tax_table_0_178,838001,838500,3540,os_hr_payroll_reports.tax_table_0
tax_table_0_179,838501,839000,3560,os_hr_payroll_reports.tax_table_0
tax_table_0_180,839001,839500,3580,os_hr_payroll_reports.tax_table_0
tax_table_0_181,839501,840000,3600,os_hr_payroll_reports.tax_table_0
tax_table_0_182,840001,840500,3620,os_hr_payroll_reports.tax_table_0
tax_table_0_183,840501,841000,3640,os_hr_payroll_reports.tax_table_0
tax_table_0_184,841001,841500,3660,os_hr_payroll_reports.tax_table_0
tax_table_0_185,841501,842000,3680,os_hr_payroll_reports.tax_table_0
tax_table_0_186,842001,842500,3700,os_hr_payroll_reports.tax_table_0
tax_table_0_187,842501,843000,3720,os_hr_payroll_reports.tax_table_0
tax_table_0_188,843001,843500,3740,os_hr_payroll_reports.tax_table_0
tax_table_0_189,843501,844000,3760,os_hr_payroll_reports.tax_table_0
tax_table_0_190,844001,844500,3780,os_hr_payroll_reports.tax_table_0
tax_table_0_191,844501,845000,3800,os_hr_payroll_reports.tax_table_0
tax_table_0_192,845001,845500,3820,os_hr_payroll_reports.tax_table_0
tax_table_0_193,845501,846000,3840,os_hr_payroll_reports.tax_table_0
tax_table_0_194,846001,846500,3860,os_hr_payroll_reports.tax_table_0
tax_table_0_195,846501,847000,3880,os_hr_payroll_reports.tax_table_0
tax_table_0_196,847001,847500,3900,os_hr_payroll_reports.tax_table_0
tax_table_0_197,847501,848000,3920,os_hr_payroll_reports.tax_table_0
tax_table_0_198,848001,848500,3940,os_hr_payroll_reports.tax_table_0
tax_table_0_199,848501,849000,3960,os_hr_payroll_reports.tax_table_0
tax_table_0_200,849001,849500,3980,os_hr_payroll_reports.tax_table_0
tax_table_0_201,849501,850000,4000,os_hr_payroll_reports.tax_table_0
tax_table_0_202,850001,850500,4020,os_hr_payroll_reports.tax_table_0
tax_table_0_203,850501,851000,4040,os_hr_payroll_reports.tax_table_0
tax_table_0_204,851001,851500,4060,os_hr_payroll_reports.tax_table_0
tax_table_0_205,851501,852000,4080,os_hr_payroll_reports.tax_table_0
